p_path	p_weight	p_name	p_description	p_type	p_pictures	p_pic_width	p_pic_height	p_new_width	p_new_height	p_new_size	n_path	n_weight	n_name	n_description	n_type	n_pictures	n_pic_width	n_pic_height	n_new_width	n_new_height	n_new_size	emotion_trials_p.thisRepN	emotion_trials_p.thisTrialN	emotion_trials_p.thisN	emotion_trials_p.thisIndex	emotion_evaluation_p.thisRepN	emotion_evaluation_p.thisTrialN	emotion_evaluation_p.thisN	emotion_evaluation_p.thisIndex	emotion_trials_n.thisRepN	emotion_trials_n.thisTrialN	emotion_trials_n.thisN	emotion_trials_n.thisIndex	emotion_evaluation_n.thisRepN	emotion_evaluation_n.thisTrialN	emotion_evaluation_n.thisN	emotion_evaluation_n.thisIndex	start_session_three	start_emotion_one	image_emotion_p.started	image_emotion_p.stopped	end_emotion_one	rating_emotion_p_eval_o.response	rating_emotion_p_eval_o.rt	rating_emotion_p_eval_t.response	rating_emotion_p_eval_t.rt	key_resp_cooldown_instructions.keys	key_resp_cooldown_instructions.rt	start_cooldown_measurement	end_cooldown_measurement	rating_cooldown_evaluation.response	rating_cooldown_evaluation.rt	start_emotion_two	image_emotion_n.started	image_emotion_n.stopped	end_emotion_two	rating_emotion_n_eval_o.response	rating_emotion_n_eval_o.rt	text_emotion_n_eval_t.started	text_emotion_n_eval_t.stopped	rating_emotion_n_eval_t.response	rating_emotion_n_eval_t.rt	end_session_three	participant	session	date	expName	psychopyVersion	frameRate
Resources\Pictures\	Positive\	7325	girl and watermelon	.jpg	Resources\Pictures\Positive\7325.jpg	1024	768	1.9	1	(1.9, 1)																0	22	22	22														6	28.325	6	13.338																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	7502	disney land	.jpg	Resources\Pictures\Positive\7502.jpg	1024	768	1.9	1	(1.9, 1)																0	23	23	23														2	22.745	4	4.494																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	8330	women and trophy	.jpg	Resources\Pictures\Positive\8330.jpg	1024	768	1.9	1	(1.9, 1)																0	24	24	24														1	32.523	4	1.648																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	8380	team medals	.jpg	Resources\Pictures\Positive\8380.jpg	1024	768	1.9	1	(1.9, 1)																0	25	25	25														1	6.526	4	1.712																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	8497	family on rollercoaster	.jpg	Resources\Pictures\Positive\8497.jpg	1024	768	1.9	1	(1.9, 1)																0	26	26	26														4	4.811	6	4.031																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	1601	man feeding giraffe	.jpg	Resources\Pictures\Positive\1601.jpg	1024	768	1.9	1	(1.9, 1)																0	27	27	27														7	6.461	6	2.93																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2005	smiling man	.jpg	Resources\Pictures\Positive\2005.jpg	1024	768	1.9	1	(1.9, 1)																0	28	28	28														2	8.045	5	3.466																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2010	smiling man 2	.jpg	Resources\Pictures\Positive\2010.jpg	1024	768	1.9	1	(1.9, 1)																0	29	29	29														1	7.51	5	1.899																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2058	baby holding hand	.jpg	Resources\Pictures\Positive\2058.jpg	1024	768	1.9	1	(1.9, 1)																0	30	30	30														7	11.94	7	3.279																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
Resources\Pictures\	Positive\	2071	baby smiling	.jpg	Resources\Pictures\Positive\2071.jpg	1024	768	1.9	1	(1.9, 1)																0	31	31	31														8	4.047	7	2.283																		es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
																																											5.28125		5.75		space	39.71878113																es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
																																																	2019-10-08_11:47:39	2019-10-08_11:52:39	5	20.499												es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
											Resources\Pictures\	Negative\	2399	headache	.jpg	Resources\Pictures\Negative\2399.jpg	1024	768	1.9	1	(1.9, 1)									0	0	0	8																				2019-10-08_11:53:15	1308.182763	None									es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
											Resources\Pictures\	Negative\	2278	poor children	.jpg	Resources\Pictures\Negative\2278.jpg	1024	768	1.9	1	(1.9, 1)									0	1	1	6																					1318.154862	None									es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
											Resources\Pictures\	Negative\	2694	prison scene	.jpg	Resources\Pictures\Negative\2694.jpg	1024	768	1.9	1	(1.9, 1)									0	2	2	13																					1328.148492	None									es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
											Resources\Pictures\	Negative\	1022	snake close up	.jpg	Resources\Pictures\Negative\1022.jpg	1024	768	1.9	1	(1.9, 1)									0	3	3	0																					1338.134705	None									es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
											Resources\Pictures\	Negative\	2683	riot scene 1	.jpg	Resources\Pictures\Negative\2683.jpg	1024	768	1.9	1	(1.9, 1)									0	4	4	10																					1348.140253	None									es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
											Resources\Pictures\	Negative\	2410	math problem	.jpg	Resources\Pictures\Negative\2410.jpg	1024	768	1.9	1	(1.9, 1)									0	5	5	9																					1358.118427	None									es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
											Resources\Pictures\	Negative\	2692	bomb	.jpg	Resources\Pictures\Negative\2692.jpg	1024	768	1.9	1	(1.9, 1)									0	6	6	27																					1368.110493	None									es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
											Resources\Pictures\	Negative\	7380	cockroaches food	.jpg	Resources\Pictures\Negative\7380.jpg	1024	768	1.9	1	(1.9, 1)									0	7	7	16																					1378.104192	None									es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
											Resources\Pictures\	Negative\	1302	 dog threat 2	.jpg	Resources\Pictures\Negative\1302.jpg	1024	768	1.9	1	(1.9, 1)									0	8	8	3																					1388.098678	None									es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
											Resources\Pictures\	Negative\	2110	 angry man 2	.jpg	Resources\Pictures\Negative\2110.jpg	1024	768	1.9	1	(1.9, 1)									0	9	9	26																					1398.078461	None									es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
											Resources\Pictures\	Negative\	6000	prison  	.jpg	Resources\Pictures\Negative\6000.jpg	1024	768	1.9	1	(1.9, 1)									0	10	10	28																					1408.092478	None									es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
											Resources\Pictures\	Negative\	9341	child in garbage river	.jpg	Resources\Pictures\Negative\9341.jpg	1024	768	1.9	1	(1.9, 1)									0	11	11	19																					1418.089397	None									es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
											Resources\Pictures\	Negative\	1201	spider on shoulder	.jpg	Resources\Pictures\Negative\1201.jpg	1024	768	1.9	1	(1.9, 1)									0	12	12	22																					1428.063477	None									es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
											Resources\Pictures\	Negative\	5971	tornado 1	.jpg	Resources\Pictures\Negative\5971.jpg	1024	768	1.9	1	(1.9, 1)									0	13	13	14																					1438.053565	None									es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
											Resources\Pictures\	Negative\	2691	riot scene 2	.jpg	Resources\Pictures\Negative\2691.jpg	1024	768	1.9	1	(1.9, 1)									0	14	14	12																					1448.055913	None									es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
											Resources\Pictures\	Negative\	9584	dentist	.jpg	Resources\Pictures\Negative\9584.jpg	1024	768	1.9	1	(1.9, 1)									0	15	15	20																					1458.036156	None									es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
											Resources\Pictures\	Negative\	8179	bungee jump	.jpg	Resources\Pictures\Negative\8179.jpg	1024	768	1.9	1	(1.9, 1)									0	16	16	17																					1468.035838	None									es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
											Resources\Pictures\	Negative\	9560	bird in oil	.jpg	Resources\Pictures\Negative\9560.jpg	1024	768	1.9	1	(1.9, 1)									0	17	17	29																					1478.025167	None									es	3	2019_Oct_08_1131	EmotionSession	03.01.2003	60.03475931
