Tick	Color	Tone	TimeDur	WordItem	WordColor	AnsLeft	AnsRight	AnsCorr	tick.thisRepN	tick.thisTrialN	tick.thisN	tick.thisIndex	stroop_trials.thisRepN	stroop_trials.thisTrialN	stroop_trials.thisN	stroop_trials.thisIndex	start_session_two	start_stress_one	end_stress_one	rating_evaluation_one.response	rating_evaluation_one.rt	rating_evaluation_two.response	rating_evaluation_two.rt	start_stress_two	key_resp_part_two_meas.keys	key_resp_part_two_meas.rt	key_resp_part_two_meas.started	key_resp_part_two_meas.stopped	end_stress_two	start_cooldown_measurement	end_cooldown_measurement	end_session_two	participant	session	date	expName	psychopyVersion	frameRate
190	yellow	880	0.5						0	189	189	189																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
191	yellow	880	0.5						0	190	190	190																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
192	yellow	880	0.5						0	191	191	191																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
193	yellow	880	0.5						0	192	192	192																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
194	yellow	880	0.5						0	193	193	193																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
195	yellow	880	0.5						0	194	194	194																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
196	yellow	880	0.5						0	195	195	195																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
197	yellow	880	0.5						0	196	196	196																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
198	yellow	880	0.5						0	197	197	197																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
199	yellow	880	0.5						0	198	198	198																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
200	yellow	880	0.5						0	199	199	199																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
201	yellow	880	0.5						0	200	200	200																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
202	yellow	880	0.5						0	201	201	201																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
203	yellow	880	0.5						0	202	202	202																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
204	yellow	880	0.5						0	203	203	203																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
205	yellow	880	0.5						0	204	204	204																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
206	yellow	880	0.5						0	205	205	205																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
207	yellow	880	0.5						0	206	206	206																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
208	yellow	880	0.5						0	207	207	207																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
209	yellow	880	0.5						0	208	208	208																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
210	yellow	880	0.5						0	209	209	209																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
211	yellow	880	0.5						0	210	210	210																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
212	yellow	880	0.5						0	211	211	211																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
213	yellow	880	0.5						0	212	212	212																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
214	yellow	880	0.5						0	213	213	213																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
215	yellow	880	0.5						0	214	214	214																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
216	yellow	880	0.5						0	215	215	215																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
217	yellow	880	0.5						0	216	216	216																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
218	yellow	880	0.5						0	217	217	217																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
219	yellow	880	0.5						0	218	218	218																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
220	yellow	880	0.5						0	219	219	219																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
221	yellow	880	0.5						0	220	220	220																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
222	yellow	880	0.5						0	221	221	221																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
223	yellow	880	0.5						0	222	222	222																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
224	yellow	880	0.5						0	223	223	223																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
225	yellow	880	0.5						0	224	224	224																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
226	yellow	880	0.5						0	225	225	225																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
227	yellow	880	0.5						0	226	226	226																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
228	yellow	880	0.5						0	227	227	227																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
229	yellow	880	0.5						0	228	228	228																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
230	yellow	880	0.5						0	229	229	229																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
231	yellow	880	0.5						0	230	230	230																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
232	yellow	880	0.5						0	231	231	231																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
233	yellow	880	0.5						0	232	232	232																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
234	yellow	880	0.5						0	233	233	233																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
235	yellow	880	0.5						0	234	234	234																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
236	yellow	880	0.5						0	235	235	235																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
237	yellow	880	0.5						0	236	236	236																					md	2	2019_Sep_05_1215	StressSession	03.01.2003	60.02253648
