Tick,Color,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,text_part_one_evaluation.started,text_part_one_evaluation.stopped,rating_part_one.response,rating_part_one.rt,participant,session,date,expName,psychopyVersion,frameRate,
183,yellow,0,181,181,181,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
184,yellow,0,182,182,182,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
185,yellow,0,183,183,183,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
186,yellow,0,184,184,184,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
187,yellow,0,185,185,185,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
188,yellow,0,186,186,186,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
189,yellow,0,187,187,187,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
190,yellow,0,188,188,188,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
191,yellow,0,189,189,189,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
192,yellow,0,190,190,190,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
193,yellow,0,191,191,191,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
194,yellow,0,192,192,192,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
195,yellow,0,193,193,193,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
196,yellow,0,194,194,194,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
197,yellow,0,195,195,195,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
198,yellow,0,196,196,196,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
199,yellow,0,197,197,197,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
200,yellow,0,198,198,198,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
201,yellow,0,199,199,199,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
202,yellow,0,200,200,200,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
203,yellow,0,201,201,201,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
204,yellow,0,202,202,202,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
205,yellow,0,203,203,203,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
206,yellow,0,204,204,204,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
207,yellow,0,205,205,205,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
208,yellow,0,206,206,206,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
209,yellow,0,207,207,207,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
210,yellow,0,208,208,208,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
211,yellow,0,209,209,209,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
212,yellow,0,210,210,210,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
213,yellow,0,211,211,211,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
214,yellow,0,212,212,212,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
215,yellow,0,213,213,213,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
216,yellow,0,214,214,214,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
217,yellow,0,215,215,215,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
218,yellow,0,216,216,216,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
219,yellow,0,217,217,217,,,,,,,,,,001,2019_Aug_08_2030,MTEC_paradigm,3.1.3,148.02797136563288,
