Tick,Color,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,participant,session,date,expName,psychopyVersion,frameRate,
147,green,0,146,146,146,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
148,green,0,147,147,147,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
149,green,0,148,148,148,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
150,green,0,149,149,149,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
151,green,0,150,150,150,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
152,green,0,151,151,151,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
153,green,0,152,152,152,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
154,green,0,153,153,153,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
155,green,0,154,154,154,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
156,green,0,155,155,155,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
157,green,0,156,156,156,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
158,green,0,157,157,157,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
159,green,0,158,158,158,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
160,green,0,159,159,159,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
161,green,0,160,160,160,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
162,green,0,161,161,161,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
163,green,0,162,162,162,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
164,green,0,163,163,163,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
165,green,0,164,164,164,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
166,green,0,165,165,165,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
167,green,0,166,166,166,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
168,green,0,167,167,167,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
169,green,0,168,168,168,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
170,green,0,169,169,169,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
171,green,0,170,170,170,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
172,green,0,171,171,171,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
173,green,0,172,172,172,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
174,green,0,173,173,173,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
175,green,0,174,174,174,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
176,green,0,175,175,175,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
177,green,0,176,176,176,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
178,green,0,177,177,177,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
179,green,0,178,178,178,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
180,green,0,179,179,179,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
181,green,0,180,180,180,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
182,green,0,181,181,181,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
183,green,0,182,182,182,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
184,green,0,183,183,183,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
185,green,0,184,184,184,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
186,green,0,185,185,185,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
187,green,0,186,186,186,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
188,green,0,187,187,187,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
189,green,0,188,188,188,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
190,green,0,189,189,189,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
191,green,0,190,190,190,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
192,green,0,191,191,191,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
193,green,0,192,192,192,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
194,green,0,193,193,193,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
195,green,0,194,194,194,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
196,green,0,195,195,195,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
197,green,0,196,196,196,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
198,green,0,197,197,197,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
199,green,0,198,198,198,,,,,,001,2019_Aug_08_1954,MTEC_paradigm,3.1.3,148.16351323223356,
